CK	T
112.7	122.5
81.0	81.3
50.0	56.7
57.4	54.9
90.2	93.0
67.8	65.8
46.5	51.5
51.5	50.7
96.0	91.8
100.5	96.3
60.3	59.0
71.7	71.0
93.2	92.5
93.7	98.7
52.5	55.0
118.2	119.3
115.2	113.3
83.2	82.8
93.3	86.8
68.3	68.8
94.0	92.0
100.7	87.2
107.8	106.5
119.7	114.8
103.8	99.3
91.3	95.2
81.7	81.3
79.0	77.0
90.2	91.7
74.8	69.0
86.7	91.7
95.0	97.5
85.3	89.2
122.3	121.2
82.7	84.2
78.7	98.8
129.8	128.2
147.0	132.5
107.0	106.8
102.5	96.5
87.5	78.0
55.5	55.0
57.3	51.0
115.2	113.8
113.8	114.3
73.5	73.8
96.8	89.5
56.2	57.3
110.3	120.5
116.0	110.0
119.2	119.3
53.7	54.5
106.3	104.8
49.0	49.8
80.6	92.0
87.5	87.0
73.2	77.2
91.7	93.7
63.2	63.7
105.2	99.7
126.0	131.3
73.7	72.5
118.5	117.5
95.2	86.8
100.2	102.7
46.5	47.8
75.2	74.8
110.2	106.2
106.2	108.8
97.8	95.2
66.8	69.7
53.5	49.7
94.8	89.8
71.2	68.7
82.7	78.7
73.2	85.5
146.0	132.3
90.2	90.3
91.3	81.0
89.2	95.2
59.7	59.0
47.8	47.7
122.0	115.2
39.3	40.3
106.0	89.2
76.7	89.3
59.0	57.5
105.3	96.2
118.8	120.5
86.2	80.3
100.3	102.5
99.8	105.5
96.2	99.0
84.9	88.9
94.3	87.2
70.0	65.3
96.7	94.0
52.8	50.8
69.5	65.8
111.7	114.2
106.5	103.8
168.8	174.8
58.5	57.2
133.0	133.7
116.7	117.0
110.7	108.3
165.0	171.0
113.3	101.0
96.6	84.8
119.7	131.7
41.5	41.5
126.7	114.7
68.2	71.7
87.2	80.0
101.3	99.2
103.0	108.8
117.8	104.5
117.7	90.5
104.0	101.2
51.6	51.1
61.5	51.2
69.5	75.3
104.2	108.5
64.3	59.2
78.7	69.7
113.8	111.3
119.8	120.0
99.0	106.3
145.0	144.3
111.8	97.0
105.8	105.3
106.8	105.8
76.0	80.7
97.7	94.0
73.3	80.7
66.3	65.0
148.0	149.0
115.5	112.7
88.3	85.8
125.8	125.7
43.3	45.3
78.2	67.8
55.5	51.5
91.8	101.7
93.5	92.8
125.2	132.2
63.2	68.5
96.7	93.5
110.3	114.0
140.3	125.0
120.0	117.7
70.7	69.2
64.2	63.8
63.0	58.7
66.0	80.0
151.7	145.5
96.7	91.3
78.7	77.4
81.5	76.3
120.7	119.7
93.2	87.0
127.2	133.5
85.8	89.2
64.5	65.0
72.0	73.7
85.0	86.2
118.8	132.3
82.2	81.2
75.7	80.8
135.4	140.0
76.8	65.0
99.4	97.2
63.6	53.3
89.5	81.3
56.5	55.7
109.3	132.8
113.5	116.8
133.0	133.7
98.3	102.5
119.2	120.3
73.2	68.5
90.2	88.7
87.3	85.7
70.3	67.2
129.7	120.5
85.0	78.2
104.7	105.0
128.5	113.3
75.0	85.0
96.8	93.7
105.0	112.2
108.2	110.7
55.0	55.7
197.8	187.2
61.2	52.5
49.8	50.5
105.7	92.5
75.0	79.0
103.0	97.3
65.0	61.5
85.2	82.2
137.8	130.0
58.0	50.0
106.2	100.5
121.8	116.3
110.3	108.7
102.3	98.0
81.7	81.5
93.0	98.3
106.3	88.7
106.5	111.2
76.7	68.3
107.3	104.2
114.3	115.7
96.3	100.2
114.0	112.3
51.8	56.8
85.2	88.2
77.8	78.3
74.8	65.2
58.8	54.7
57.2	57.0
164.8	165.0
58.3	63.2
165.3	198.3
85.5	80.3
66.8	60.3
119.3	119.8
103.0	105.5
143.2	140.3
134.0	141.7
94.7	106.2
108.7	100.7
96.8	97.0
105.3	103.2
134.8	134.0
56.0	53.3
55.3	57.0
96.8	103.2
89.5	90.3
94.7	95.7
141.1	135.5
92.5	90.7
76.2	70.3
97.7	102.2
62.8	65.9
141.3	126.0
84.0	78.5
157.3	166.0
57.7	54.0
54.3	52.0
56.2	65.2
36.7	38.3
51.8	54.2
85.3	73.7
53.5	54.5
45.9	41.8
89.0	79.5
100.2	98.7
100.0	92.0
115.0	124.5
115.4	124.5
108.2	110.8
41.2	36.7
89.3	85.0
65.5	65.3
87.7	78.5
94.2	84.3
96.8	93.0
106.3	104.7
85.0	83.3
96.3	89.0
76.7	79.0
65.7	64.0
107.3	105.7
132.5	131.8
59.5	58.0
90.7	92.0
106.5	102.5
90.3	86.3
89.3	94.0
118.3	99.3
156.7	146.2
97.5	93.0
60.7	58.7
116.2	114.5
78.2	87.8
110.7	110.5
60.0	64.8
96.7	90.3
74.1	80.4
62.5	60.2
102.5	100.2
80.2	78.2
111.3	123.8
58.3	56.0
102.8	97.7
54.3	54.0
151.7	149.2
48.7	51.5
179.5	149.3
80.2	83.3
111.2	101.8
108.3	110.0
108.9	103.0
106.0	107.8
74.7	72.8
53.5	47.5
51.8	48.2
155.0	156.8
52.5	49.2
97.5	95.8
55.8	55.5
90.0	82.5
88.3	81.7
110.3	118.3
125.3	168.5
43.7	41.8
88.7	87.5
130.5	120.3
54.8	53.2
74.2	72.3
119.8	119.3
92.7	100.0
131.5	117.2
116.8	126.8
73.0	72.5
71.5	78.7
105.3	112.8
113.7	117.2
63.3	59.3
107.0	96.5
32.2	34.2
42.4	39.6
104.8	101.7
118.5	108.8
106.0	104.0
44.9	40.2
50.3	50.0
128.0	135.5
137.7	157.2
109.8	100.9
115.2	120.8
106.8	111.5
157.3	148.3
42.8	45.5
59.7	55.2
59.2	58.7
41.2	41.5
95.0	88.7
89.8	87.7
98.3	102.0
112.8	109.0
60.1	59.8
117.5	116.5
65.8	65.8
89.7	93.0
139.5	135.8
68.8	67.6
134.5	133.8
75.8	70.3
75.3	81.8
84.3	80.5
