ind	_ENV_	_BLK_	y
4B001	2011	1	40
4B002	2011	1	39
4B003	2011	1	34
4B004	2011	1	39
4B005	2011	1	50
4B006	2011	1	38
4B007	2011	1	43
4B008	2011	1	40
4B009	2011	1	43
4B010	2011	1	35
4B011	2011	1	38
4B012	2011	1	35
4B013	2011	1	39
4B014	2011	1	51
4B015	2011	1	40
4B016	2011	1	39
4B017	2011	1	39
4B018	2011	1	40
4B019	2011	1	41
4B020	2011	1	34
4B021	2011	1	34
4B022	2011	1	38
4B023	2011	1	44
4B024	2011	1	35
4B025	2011	1	44
4B026	2011	1	39
4B027	2011	1	39
4B028	2011	1	35
4B029	2011	1	38
4B030	2011	1	41
4B031	2011	1	37
4B032	2011	1	43
4B033	2011	1	39
4B034	2011	1	37
4B035	2011	1	37
4B036	2011	1	40
4B037	2011	1	43
4B038	2011	1	35
4B039	2011	1	37
4B041	2011	1	44
4B042	2011	1	34
4B043	2011	1	37
4B044	2011	1	34
4B045	2011	1	40
4B046	2011	1	34
4B047	2011	1	39
4B048	2011	1	37
4B049	2011	1	35
4B050	2011	1	45
4B051	2011	1	38
4B052	2011	1	31
4B053	2011	1	34
4B054	2011	1	41
4B055	2011	1	37
4B056	2011	1	45
4B057	2011	1	39
4B058	2011	1	39
4B059	2011	1	45
4B060	2011	1	29
4B061	2011	1	32
4B062	2011	1	39
4B063	2011	1	34
4B064	2011	1	35
4B065	2011	1	37
4B066	2011	1	37
4B067	2011	1	43
4B068	2011	1	35
4B069	2011	1	37
4B070	2011	1	39
4B071	2011	1	40
4B072	2011	1	51
4B073	2011	1	34
4B074	2011	1	38
4B075	2011	1	41
4B076	2011	1	39
4B077	2011	1	39
4B078	2011	1	38
4B079	2011	1	43
4B080	2011	1	39
4B081	2011	1	41
4B082	2011	1	39
4B083	2011	1	nan
4B085	2011	1	38
4B086	2011	1	37
4B087	2011	1	43
4B088	2011	1	40
4B089	2011	1	35
4B090	2011	1	38
4B091	2011	1	37
4B092	2011	1	35
4B093	2011	1	41
4B094	2011	1	49
4B095	2011	1	38
4B096	2011	1	39
4B097	2011	1	37
4B098	2011	1	34
4B099	2011	1	32
4B100	2011	1	32
4B101	2011	1	38
4B102	2011	1	39
4B103	2011	1	55
4B104	2011	1	38
4B105	2011	1	38
4B106	2011	1	49
4B107	2011	1	41
4B108	2011	1	46
4B109	2011	1	43
4B110	2011	1	38
4B111	2011	1	39
4B112	2011	1	48
4B113	2011	1	34
4B114	2011	1	35
4B115	2011	1	37
4B116	2011	1	37
4B117	2011	1	38
4B118	2011	1	43
4B119	2011	1	41
4B120	2011	1	41
4B121	2011	1	37
4B122	2011	1	31
4B123	2011	1	35
4B124	2011	1	38
4B125	2011	1	37
4B126	2011	1	34
4B127	2011	1	34
4B128	2011	1	43
4B129	2011	1	45
4B130	2011	1	37
4B131	2011	1	35
4B132	2011	1	38
4B133	2011	1	38
4B134	2011	1	42
4B135	2011	1	34
4B136	2011	1	34
4B137	2011	1	38
4B138	2011	1	37
4B140	2011	1	39
4B141	2011	1	35
4B142	2011	1	38
4B143	2011	1	39
4B144	2011	1	37
4B145	2011	1	39
4B146	2011	1	40
4B148	2011	1	34
4B149	2011	1	37
4B150	2011	1	35
4B151	2011	1	38
4B152	2011	1	35
4B153	2011	1	35
4B154	2011	1	37
4B155	2011	1	38
4B156	2011	1	38
4B157	2011	1	34
4B158	2011	1	38
4B159	2011	1	38
4B160	2011	1	38
4B161	2011	1	38
4B162	2011	1	38
4B163	2011	1	44
4B164	2011	1	35
4B165	2011	1	41
4B167	2011	1	35
4B168	2011	1	38
4B169	2011	1	38
4B170	2011	1	38
4B171	2011	1	34
4B172	2011	1	38
4B173	2011	1	38
4B174	2011	1	34
4B175	2011	1	39
4B177	2011	1	38
4B178	2011	1	43
4B179	2011	1	35
4B180	2011	1	31
4B181	2011	1	74
4B182	2011	1	35
