ind	pop
4B001	4B
4B002	4B
4B003	4B
4B004	4B
4B005	4B
4B006	4B
4B007	4B
4B008	4B
4B009	4B
4B010	4B
4B011	4B
4B012	4B
4B013	4B
4B014	4B
4B015	4B
4B016	4B
4B017	4B
4B018	4B
4B019	4B
4B020	4B
4B021	4B
4B022	4B
4B023	4B
4B024	4B
4B025	4B
4B026	4B
4B027	4B
4B028	4B
4B029	4B
4B030	4B
4B031	4B
4B032	4B
4B033	4B
4B034	4B
4B035	4B
4B036	4B
4B037	4B
4B038	4B
4B039	4B
4B041	4B
4B042	4B
4B043	4B
4B044	4B
4B045	4B
4B046	4B
4B047	4B
4B048	4B
4B049	4B
4B050	4B
4B051	4B
4B052	4B
4B053	4B
4B054	4B
4B055	4B
4B056	4B
4B057	4B
4B058	4B
4B059	4B
4B060	4B
4B061	4B
4B062	4B
4B063	4B
4B064	4B
4B065	4B
4B066	4B
4B067	4B
4B068	4B
4B069	4B
4B070	4B
4B071	4B
4B072	4B
4B073	4B
4B074	4B
4B075	4B
4B076	4B
4B077	4B
4B078	4B
4B079	4B
4B080	4B
4B081	4B
4B082	4B
4B083	4B
4B085	4B
4B086	4B
4B087	4B
4B088	4B
4B089	4B
4B090	4B
4B091	4B
4B092	4B
4B093	4B
4B094	4B
4B095	4B
4B096	4B
4B097	4B
4B098	4B
4B099	4B
4B100	4B
4B101	4B
4B102	4B
4B103	4B
4B104	4B
4B105	4B
4B106	4B
4B107	4B
4B108	4B
4B109	4B
4B110	4B
4B111	4B
4B112	4B
4B113	4B
4B114	4B
4B115	4B
4B116	4B
4B117	4B
4B118	4B
4B119	4B
4B120	4B
4B121	4B
4B122	4B
4B123	4B
4B124	4B
4B125	4B
4B126	4B
4B127	4B
4B128	4B
4B129	4B
4B130	4B
4B131	4B
4B132	4B
4B133	4B
4B134	4B
4B135	4B
4B136	4B
4B137	4B
4B138	4B
4B140	4B
4B141	4B
4B142	4B
4B143	4B
4B144	4B
4B145	4B
4B146	4B
4B148	4B
4B149	4B
4B150	4B
4B151	4B
4B152	4B
4B153	4B
4B154	4B
4B155	4B
4B156	4B
4B157	4B
4B158	4B
4B159	4B
4B160	4B
4B161	4B
4B162	4B
4B163	4B
4B164	4B
4B165	4B
4B167	4B
4B168	4B
4B169	4B
4B170	4B
4B171	4B
4B172	4B
4B173	4B
4B174	4B
4B175	4B
4B177	4B
4B178	4B
4B179	4B
4B180	4B
4B181	4B
4B182	4B
4B183	4B
4B184	4B
4B185	4B
4B186	4B
4B187	4B
4B188	4B
4B189	4B
4B190	4B
4B191	4B
4B192	4B
4B193	4B
4B194	4B
4B195	4B
4B196	4B
4B197	4B
4B198	4B
4B199	4B
4B200	4B
4B201	4B
4B202	4B
4B203	4B
4B204	4B
4B205	4B
4B206	4B
4B207	4B
4B208	4B
4B209	4B
4B210	4B
4B211	4B
4B212	4B
4B213	4B
4B214	4B
4B215	4B
4B216	4B
4B217	4B
4B218	4B
4B219	4B
4B220	4B
4B221	4B
4B222	4B
4B223	4B
4B224	4B
4B225	4B
4B226	4B
4B227	4B
4B228	4B
4B229	4B
4B231	4B
4B232	4B
4B233	4B
4B234	4B
4B235	4B
4B236	4B
4B237	4B
4B238	4B
4B239	4B
4B240	4B
4B242	4B
4B243	4B
4B244	4B
4B245	4B
4B246	4B
4B247	4B
4B248	4B
4B249	4B
4B250	4B
4B251	4B
4B252	4B
4B253	4B
4B254	4B
4B255	4B
4B256	4B
4B257	4B
4B258	4B
4B259	4B
4B260	4B
4B261	4B
4B262	4B
4B263	4B
4B264	4B
4B265	4B
4B266	4B
4B267	4B
4B268	4B
4B270	4B
4B271	4B
4B272	4B
4B273	4B
4B274	4B
4B275	4B
4B276	4B
4B277	4B
4B278	4B
4B279	4B
4B280	4B
4B281	4B
4B282	4B
4B283	4B
4B284	4B
4B285	4B
4B286	4B
4B287	4B
4B288	4B
4B289	4B
4B290	4B
4B291	4B
4B292	4B
4B293	4B
4B294	4B
4B295	4B
4B296	4B
4B297	4B
4B298	4B
4B299	4B
4B300	4B
4B301	4B
4B302	4B
4B303	4B
4B304	4B
4B305	4B
4B306	4B
4B307	4B
4B308	4B
