Q1	Q2	Q3
0.1296	0.4409	0.4295
0.3975	0.4091	0.1934
0	0	1
0.575	0.419	0.006
0.431	0.002	0.567
0.261	0	0.739
0	0.128	0.872
0.4276	0.001	0.5714
0.148	0.026	0.826
0.1447	0.087	0.7683
0.001	0.024	0.975
0.176	0.13	0.694
0	0	1
0.8156	0.005	0.1794
0.271	0	0.729
0.411	0.0007	0.5883
0	0	1
0.5193	0.0057	0.475
0	0	1
0.4538	0.0423	0.5038
0.184	0.001	0.815
0.3272	0.6568	0.016
0	0.1137	0.8863
0.428	0.117	0.455
0	1	0
0.642	0.073	0.285
0	1	0
0.6139	0.107	0.2791
0.056	0.8444	0.0996
0.651	0.189	0.16
0.189	0.811	0
0.5182	0.2631	0.2187
0.504	0.071	0.425
0.614	0.071	0.315
0	1	0
0.8823	0	0.1177
0	1	0
0.6837	0.0773	0.239
0	1	0
0.741	0.001	0.258
0	1	0
0.744	0	0.256
0	0.999	0.001
0.6726	0.3111	0.0163
0	1	0
0.7504	0.001	0.2486
0.7763	0.2173	0.0063
0.596	0.051	0.353
0	0.101	0.899
0.699	0.018	0.283
0.001	0.337	0.662
0.7416	0.086	0.1724
0.055	0.0043	0.9407
0.4744	0.5237	0.002
0	0.1094	0.8906
0.6939	0.2081	0.098
0.2028	0.002	0.7952
0.5876	0.1399	0.2725
0	0	1
0	1	0
0.059	0	0.941
0	1	0
0	0	1
0	1	0
0.0523	0.001	0.9467
0.2318	0.7672	0.001
0.4358	0.002	0.5622
0.7185	0.2805	0.001
0.142	0	0.858
0.7031	0.2629	0.034
0.6784	0.0007	0.3209
0.6205	0.3785	0.001
0	1	0
0.7466	0	0.2534
0.2779	0.3502	0.3719
0.6876	0.0003	0.3121
0.043	0.956	0.001
0.716	0.001	0.283
0	1	0
0.7082	0	0.2918
0	1	0
0.736	0	0.264
0.0283	0.911	0.0607
0.676	0	0.324
0.3666	0.073	0.5604
0.674	0	0.326
0.246	0.45	0.304
0.763	0.048	0.189
0.054	0.945	0.001
0.605	0.142	0.253
